CRASH_DATE,CRASH_SEVE,CRASH_WEAT,NO_OF_VEHI,LIGHT_COND,CRASH_HOUR,CRASH_YEAR,PHYSICAL_1,Lon,Lat,Color
2010-03-03T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,14:30,2010,Henry County,-79.79903961,36.75220508,0
2010-01-30T00:00:00.000Z,Property Damage Crash,6. Snow,2,2. Daylight,11:05,2010,Fairfax County,-77.27644892,38.87667027,0
2010-02-14T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,14:30,2010,Fauquier County,-77.94188304,38.90306017,0
2010-02-15T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,1. Dawn,22:17,2010,Fairfax County,-77.22629735,38.88365348,0
2010-11-02T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,14:27,2010,City of Winchester,-78.18714664,39.15450604,0
2010-08-28T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,8:01,2010,Montgomery County,-80.25709788,37.16881037,0
2010-08-27T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,5. Darkness - Road Not Lighted,4:08,2010,Montgomery County,-80.52048116,37.20942102,0
2010-08-25T00:00:00.000Z,Property Damage Crash,5. Rain,2,2. Daylight,9:15,2010,Montgomery County,-80.40400769,37.18331862,0
2010-08-25T00:00:00.000Z,Property Damage Crash,5. Rain,1,5. Darkness - Road Not Lighted,6:15,2010,Montgomery County,-80.20873427,37.24603687,0
2010-09-27T00:00:00.000Z,Property Damage Crash,5. Rain,2,2. Daylight,15:53,2010,Montgomery County,-80.25481701,37.1689993,0
2010-09-18T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,15:21,2010,Montgomery County,-80.36596203,37.21632703,1
2010-09-01T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,5. Darkness - Road Not Lighted,20:40,2010,Prince William County,-77.57589933,38.79776952,0
2010-12-05T00:00:00.000Z,Pedestrian Fatal Crash,1. No Adverse Condition (Clear/Cloudy),1,4. Darkness - Road Lighted,18:42,2010,City of Falls Church,-77.17644077,38.88569412,3
2010-06-23T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,12:28,2010,Town of Wytheville,-81.09197924,36.95432477,1
2010-08-05T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,12:20,2010,Fairfax County,-77.25748203,38.87888748,0
2010-08-13T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),2,4. Darkness - Road Lighted,0:58,2010,City of Virginia Beach,-76.18685695,36.88128243,2
2010-08-09T00:00:00.000Z,Fatal Crash,3. Fog,2,5. Darkness - Road Not Lighted,4:19,2010,City of Suffolk,-76.88871159,36.6227896,2
2010-06-15T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,14:35,2010,City of Petersburg,-77.43129066,37.21605147,2
2010-07-02T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,13:58,2010,Town of Wytheville,-81.04820083,36.94742554,0
2010-06-14T00:00:00.000Z,Property Damage Crash,5. Rain,1,2. Daylight,15:20,2010,Town of Wytheville,-81.06240076,36.95966252,0
2010-07-26T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,14:42,2010,Town of Wytheville,-81.10873911,36.96168323,0
2010-08-07T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,17:20,2010,Wythe County,-80.94421687,36.93706532,0
2010-08-06T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,16:20,2010,Town of Wytheville,-81.08519501,36.94857753,0
2010-08-18T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),1,5. Darkness - Road Not Lighted,4:40,2010,Sussex County,-77.04994058,37.05195489,2
2010-05-03T00:00:00.000Z,Injury Crash,5. Rain,1,2. Daylight,18:00,2010,Fauquier County,-77.73613519,38.83172428,1
2010-02-05T00:00:00.000Z,Property Damage Crash,6. Snow,4,2. Daylight,9:45,2010,Fairfax County,-77.34762219,38.86179461,0
2010-05-28T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,10:25,2010,Fairfax County,-77.36210122,38.85944409,0
2010-02-08T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,14:55,2010,Fauquier County,-77.91995221,38.89926086,0
2010-03-01T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,8:45,2010,Fairfax County,-77.17693962,38.89746119,1
2010-05-15T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,18:27,2010,Fairfax County,-77.17822273,38.89790106,0
2010-02-05T00:00:00.000Z,Property Damage Crash,6. Snow,2,5. Darkness - Road Not Lighted,20:30,2010,Fauquier County,-78.04073583,38.91010222,0
2010-01-03T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,4. Darkness - Road Lighted,21:00,2010,Fairfax County,-77.27657335,38.87692568,1
